Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20,Channel 21,Channel 22,Channel 23,Channel 24,Channel 25,Channel 26,Channel 27,Channel 28,Channel 29,Channel 30,Channel 31,Channel 32,Channel 33,Channel 34,Channel 35,Channel 36,Channel 37,Channel 38,Channel 39,Channel 40,Channel 41,Channel 42,Channel 43,Channel 44,Channel 45,Channel 46,Channel 47,Channel 48,Channel 49,Channel 50,Channel 51,Channel 52,Channel 53,Channel 54,Channel 55,Channel 56,Channel 57,Channel 58,Channel 59,Channel 60,Channel 61,Channel 62,Channel 63,Channel 64,Channel 65,Channel 66,Channel 67,Channel 68,Channel 69,Channel 70,Channel 71,Channel 72,Channel 73,Channel 74,Channel 75,Channel 76,Channel 77,Channel 78,Channel 79,Channel 80,Channel 81,Channel 82,Channel 83,Channel 84,Channel 85,Channel 86,Channel 87,Channel 88,Channel 89,Channel 90,Channel 91,Channel 92,Channel 93,Channel 94,Channel 95,Channel 96,Channel 97,Channel 98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69062037817977e-22,1.71993157131783e-17,1.57944404085744e-09,4.23763028944616e-07,7.63908641397609e-06,0.0198072433576326,0.763849265582424,80.9391123411643,71.8016662243035,0.646325346388733,0.437725111737357,40.4037582706031,42.2604299862261,0.479285853038561,0.416058669853489,32.3094004165117,37.8953419160185,0.46103156666768,0.0472644192681735,3.38294771870228,3.63352017782604,0.0213327102526859,0.0503490321486412,6.36046620706275,6.09122348859207,0.0432979684281024,0.00978846413754421,0.10902902763202,15.4217691906909,19.2416071943279,9.15677802953552,5.95767518472785,0.018444581888779,0.000915038226261715,0.00142409655203703,0.84224517201487,1.06079844803565,0.0773429839164156,6.55899374125079,6.90042678396933,0.0595368959905368,0.00378711675600498,0.103591883813215,0.101185801451079,3.82641040251215e-05,9.18692399810525e-05,0.135474542819057,0.138837523966314,0.00123684876184185,0.0113165266435482,2.15731908736132,2.20765506587561,0.0181106754833897,0.0280339365954516,3.24822447435084,3.27087464426654,0.0209244873280025,0.00115803775886343
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63116125676806e-23,6.48441695927364e-18,9.59279267930047e-10,1.82906381241143e-07,4.24280203804609e-06,0.0213188369748733,1.08933600522844,138.433729472021,127.521070761393,0.990851894239056,0.299810885430298,27.9437906668943,30.2952488478676,0.339305132021592,0.0764286225387661,7.41734678224696,9.49602043145948,0.0716864170078986,0.0123819520343708,1.46555310316592,1.58010494142987,0.00298955749675584,0.000345498804696159,0.186039278466072,0.185354355719713,2.90774472751335e-05,0.00115235412561911,0.0252010583795343,5.26075121419283,7.36310248877957,7.31312476420622,5.33009817636802,0.0259405274113129,0.00114522397884063,9.93838483760464e-06,0.0238289692088838,0.036622919819968,0.0119583330428637,1.72122505795499,1.72113346750601,0.0114223987581803,0.00088047202416865,0.054223951641689,0.0509405450202287,1.38027827479191e-05,4.30471274077972e-06,0.0154562948255305,0.0153220371956982,2.55398143465307e-05,0.000216797185070612,0.238323477273936,0.255634902572766,0.00108088679915732,0.00297638100891822,0.852494332697278,0.834335889747504,0.00193671646021382,0.000112180655866615
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1010680554344e-23,4.75104983157448e-19,1.10392161386931e-09,7.78783561147992e-08,1.13054824418027e-06,0.0185585621343559,0.890381202112613,85.1707453527937,80.7160552479285,0.886418311499389,0.250785618980049,29.5444146659159,31.6350875445957,0.389483271562903,0.0701108065107426,8.07267999639119,8.95236681407436,0.0741108414818515,0.0427368288596984,5.059303967973,5.29624705419417,0.0477026666957009,0.0735258032123078,7.03451313226416,7.07856223241295,0.0504755325502915,0.00767802344724185,0.0529702578509653,6.68924338195484,8.13831665635879,1.44173717260439,0.847140858424746,0.000749481208949639,6.72355966004284e-05,0.000100104884666482,0.2114873007356,0.278270559878376,0.000411642873669597,0.155298480120412,0.170336424659044,0.000129570894305889,2.2538183602033e-05,0.0356782364757907,0.0364179223756425,2.75823365478358e-05,7.11131657740763e-05,0.134131766901418,0.138903852484869,0.00021874047074638,0.000578466873585057,0.353224777507816,0.358621102355218,0.000829016628889509,0.000530746200023248,0.254464483616682,0.244266801695045,0.000155214403432178,9.12170556152279e-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23915444913922e-22,1.55267042348572e-17,2.215857351823e-09,3.25418793946465e-07,5.86261313119678e-06,0.0215283969374521,1.01689792635242,148.443522232258,144.710875967916,1.00820859560314,0.0265356830666229,9.3525415295724,12.6124754598432,0.122575077184223,0.0459607173675874,4.84927395754334,5.50467274836417,0.0301470793504121,0.00943544480837073,1.80440796723893,1.96183814009512,0.012538631016462,0.0665559332082017,8.2007361725338,8.46044475297871,0.06365865363202,0.00329965157412484,2.89275364199661e-05,0.0907008227774244,0.08920875030273,0.0234563179626144,0.0240104077195218,7.56035515104798e-06,0.000498927357076739,0.00833201047960112,2.04378128814107,2.16591401393732,0.0157611986398256,0.392003223773821,0.309642947013455,0.000227047610940053,0.000131212894814957,0.187460821520971,0.172754319556854,0.000378401879634742,0.00222749169923778,1.16523397946704,1.16078070361538,0.00380444105849401,0.00516433402133974,1.45300747688312,1.49713790532667,0.00949682032530024,0.014466274737028,2.31372103902955,2.31000381276633,0.00881922400073853,0.000534427793459561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11589795537302e-22,8.55319999196727e-18,1.54939993297041e-09,3.09159123029815e-07,5.93146661261817e-06,0.0239334468045683,1.39067203890968,214.957459178068,202.226432390672,1.34078077757598,0.079881385613284,8.44206902031913,10.0144068531569,0.0923010882421726,0.652675188172494,54.9157599735159,62.1635191680872,0.599239111027257,0.219590717254173,17.3098066760409,18.6936769461234,0.219871704986778,0.0116869509168372,3.35237147243583,3.41083625236156,0.0156093989354175,0.00327192629314316,0.0327507057419536,9.1074145327632,14.0608472342311,28.1549482849818,21.9882126451893,0.171548717099424,0.00530495960575007,0.00828128283851893,3.38014489270515,3.73114384358846,0.0267098333759602,1.27501640221792,1.4115316885912,0.00463824450559034,0.0105565727278554,2.03784712921839,2.01642356290907,0.00744183297014786,0.000545522827510875,0.0388819368220602,0.0385624937009961,5.63987616940104e-05,0.000385342810060304,0.277541423842655,0.295715417847508,0.00117053715453141,0.00167814915444759,0.420449932378475,0.404081876437364,0.000811038753927112,4.72938126838497e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75431750280731e-23,2.21630805859493e-18,3.79635883627793e-10,1.28139533923609e-07,2.25804363919798e-06,0.00210481706826874,0.0385184560739379,5.72352286523665,5.66715115264464,0.0560328546700649,0.0678054692748337,6.54391032047868,6.55507046804228,0.0564692161794262,0.0153523624950006,1.55235967351641,1.5335106525361,0.00987522670016742,0.0499767876346193,5.04400572459184,4.81842965223308,0.0479666513141119,0.0144041093919055,2.51403428786236,2.51256346345946,0.00937597832648297,0.00119679361480798,0.00275685047595329,1.07929943328816,1.26932129987969,0.74803236781274,0.619436550481565,0.00122612240036354,0.0014754699557496,0.0299808808941748,2.88222306638683,2.98936670465014,0.0322476095987547,0.0231457166415899,0.012444404201409,8.13303739857979e-07,1.08006427680529e-05,0.0397014678180133,0.0422129075570239,4.15541230550577e-05,0.000152135150594101,0.124870756787903,0.127066041148608,0.000268844552145916,0.000307817725654699,0.146728221511805,0.146694556879436,0.000247059088246029,0.00010592969598628,0.0676567567248287,0.0660307904406995,3.06933684441252e-05,1.93484588000091e-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42426139032797e-22,1.30089144859187e-17,1.21606317306029e-09,2.39058496252028e-07,4.95187306676793e-06,0.0196420452164658,1.12269512413797,191.207693800564,170.901979807837,0.94136735058084,0.208445772287736,28.5239265972331,35.8884914522974,0.361740540603608,0.463217554911817,57.5507076949077,67.767174116478,0.711982499893953,0.0605877044154724,7.33967816217389,8.18332574787834,0.0599249903323002,0.018558243156566,3.2105124255941,2.87843994891464,0.00720295876878964,0.00559561692751619,0.112731712575739,17.167827561997,22.4192588348338,29.6409037735403,22.4752881419126,0.15738909063518,0.00682516324498,0.0614029224436981,7.781618667823,8.91408370460592,0.181483863669679,6.71119554916829,6.95464528275449,0.0432440103928942,0.00350277997036531,0.285804195527109,0.28730183873542,0.000160660598250396,0.000101581255768592,0.125653136301493,0.129197168072306,0.000225897777302652,0.000902825801637462,0.508243096010741,0.522893347614085,0.00170455031978236,0.00197984613575833,0.626587699468116,0.609733523948164,0.00106538778064571,6.34751500276429e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62767572740131e-22,4.3281379461851e-17,1.94211622734284e-09,4.64443964841641e-07,8.26088742567556e-06,0.0152751745253701,1.04085885477748,115.42147023039,112.633249327149,1.05188416028689,0.217338314511254,19.9551065276784,20.9626170563071,0.252392485366841,0.0147898679839043,1.74973450025998,2.16201654969824,0.0077809584409894,0.00439190597523492,1.43551825831851,1.4549670211914,0.00347113130528547,0.00223698790789024,0.833727872962444,0.80982840810125,0.00147438872685052,0.000370706260118373,0.00119965134217973,0.846719352252911,1.2241868728033,4.25479795116949,3.81385377678888,0.0160404206850369,0.000992610218814294,3.31103037078628e-05,0.0999539748242146,0.101303026744618,9.22595976699964e-05,0.0997398326659237,0.102815385776846,5.95019931604861e-05,6.71406435627939e-05,0.117043449909225,0.113410006579968,0.00012071496306334,0.00062754942195654,0.434774564242547,0.418240790443781,0.00293989942223539,0.017677311429556,3.01945718779827,3.0033962994377,0.0356424280253921,0.315560886928277,23.7147971442827,24.5629722790813,0.310560604525983,0.0110305907602285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57082983464469e-23,3.03121194145373e-18,4.75294951927121e-10,1.78960115803983e-07,3.73094059727765e-06,0.00961123135519129,0.432737768878479,36.840903472358,36.5668511147021,0.441965128192415,0.0371902231310328,4.40894571834675,4.41785014822721,0.0354686961680773,0.0282866893025629,3.45720969879729,3.57079478503516,0.0190659692665458,0.00398491390784353,0.949202632014731,0.95995213259804,0.00224327450727594,0.000474048912563645,0.149532160765469,0.146645170992682,7.42393679801241e-05,2.4516647699405e-05,0.000180190469549385,0.253993149519429,0.279162900727362,0.0868649396770011,0.0697218693530108,3.24711863352032e-05,3.39893171911906e-06,2.33812380169244e-06,0.0146857483280263,0.0152162354083161,4.4253498139835e-05,0.0656838914273918,0.0666093784744693,7.64524407427056e-05,0.000149218341705646,0.150425206651559,0.151535223799591,0.000188067035188012,0.000168680589640374,0.143794988415274,0.144302140507437,0.000185333193192822,0.000345009672581926,0.2554896835307,0.258639766162939,0.000475569211885907,0.000285226744590994,0.147471919745819,0.141342235675849,7.95477889798632e-05,4.9687165166807e-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67925380206243e-22,9.82022219998533e-18,1.59536266123807e-09,3.25848725474844e-07,7.78947895415743e-06,0.0203612133996435,1.01174127476622,113.446655240618,113.036972681724,1.01492862743589,0.0259045685051268,2.10860978936251,2.50031980303068,0.0179118492652871,0.127435495470314,13.2179597513849,12.6829674561391,0.129545947504341,0.0336508668415497,3.33678917842095,3.35793973287981,0.0228680565438113,0.0388967294632306,5.98827747607964,6.11357184845325,0.0322873309241318,0.00198953493060129,5.71789551616349e-05,0.198964189242099,0.222489427564109,0.129283587233307,0.129260586191851,5.35159062420327e-05,6.73519378220945e-05,0.000589771865552411,0.502726495741403,0.541602433752365,0.00332271683696924,0.439643740482305,0.399493141420056,0.00057616796390035,6.28514736248384e-05,0.0578577801732668,0.0497612866855064,0.000105525587938686,0.00104825773507112,0.645710854657106,0.587712425947768,0.00978176029623883,0.144876926102108,12.4363533483342,12.5531028149677,0.163735544163716,0.038076548655198,3.27433921946162,3.34029608117613,0.0157149646757559,0.000930946295370131
